Title,Authors,Date of Publication,Links
Publisher Correction: Allogeneic BCMA-targeting CAR T cells in relapsed/refractory multiple myeloma: phase 1 UNIVERSAL trial interim results,Sham MailankodyJeffrey V. MatousShaji K. Kumar,2023-03-17,"<a href=""https://www.nature.com/articles/s41591-023-02306-7"" target=""_blank"">https://www.nature.com/articles/s41591-023-02306-7</a>"
Remodelling of tumour microenvironment by microwave ablation potentiates immunotherapy of AXL-specific CAR T cells against non-small cell lung cancer,Bihui CaoManting LiuZhenfeng Zhang,2022-10-19,"<a href=""https://www.nature.com/articles/s41467-022-33968-5"" target=""_blank"">https://www.nature.com/articles/s41467-022-33968-5</a>"
Prognostic value of early bone marrow MRD status in CAR-T therapy for myeloma,Radhika BansalMizba BakshYi Lin,2023-04-05,"<a href=""https://www.nature.com/articles/s41408-023-00820-y"" target=""_blank"">https://www.nature.com/articles/s41408-023-00820-y</a>"
Peptide-mediated delivery of CRISPR enzymes for the efficient editing of primary human lymphocytes,Dana V. FossJoseph J. MuldoonRoss C. Wilson,2023-04-25,"<a href=""https://www.nature.com/articles/s41551-023-01032-2"" target=""_blank"">https://www.nature.com/articles/s41551-023-01032-2</a>"
Optimization of the proliferation and persistency of CAR T cells derived from human induced pluripotent stem cells,Tatsuki UedaSara ShiinaShin Kaneko,2022-12-12,"<a href=""https://www.nature.com/articles/s41551-022-00969-0"" target=""_blank"">https://www.nature.com/articles/s41551-022-00969-0</a>"
HBV reactivation in patients with chronic or resolved HBV infection following BCMA-targeted CAR-T cell therapy,Shan FuQiqi ZhangHe Huang,2023-03-31,"<a href=""https://www.nature.com/articles/s41409-023-01960-2"" target=""_blank"">https://www.nature.com/articles/s41409-023-01960-2</a>"
The effect of sustainable mobility transition policies on cumulative urban transport emissions and energy demand,Lisa WinklerDrew PearceOytun Babacan,2023-04-24,"<a href=""https://www.nature.com/articles/s41467-023-37728-x"" target=""_blank"">https://www.nature.com/articles/s41467-023-37728-x</a>"
National Nature Week in Britain,MAURICE BURTON,1963-06-22,"<a href=""https://www.nature.com/articles/1981131a0"" target=""_blank"">https://www.nature.com/articles/1981131a0</a>"
Single-cell profiling identifies pre-existing CD19-negative subclones in a B-ALL patient with CD19-negative relapse after CAR-T therapy,Tracy RabilloudDelphine PotierDominique Payet-Bornet,2021-02-08,"<a href=""https://www.nature.com/articles/s41467-021-21168-6"" target=""_blank"">https://www.nature.com/articles/s41467-021-21168-6</a>"
LINKing signaling domains to enhance CAR T cells,Philip BucherJudith Feucht,2023-04-27,"<a href=""https://www.nature.com/articles/s43018-023-00538-7"" target=""_blank"">https://www.nature.com/articles/s43018-023-00538-7</a>"
Massively parallel knock-in engineering of human T cells,Xiaoyun DaiJonathan J. ParkSidi Chen,2023-01-26,"<a href=""https://www.nature.com/articles/s41587-022-01639-x"" target=""_blank"">https://www.nature.com/articles/s41587-022-01639-x</a>"
A lentiviral vector for the production of T cells with an inducible transgene and a constitutively expressed tumour-targeting receptor,Patrick ReichenbachGreta Maria Paola Giordano AttianeseMelita Irving,2023-04-17,"<a href=""https://www.nature.com/articles/s41551-023-01013-5"" target=""_blank"">https://www.nature.com/articles/s41551-023-01013-5</a>"
Impact of different ventilation conditions on tobacco smoke-associated particulate matter emissions in a car cabin using the TAPaC platform,Lukas PittenDörthe BrüggmannDavid A. Groneberg,2023-05-22,"<a href=""https://www.nature.com/articles/s41598-023-35208-2"" target=""_blank"">https://www.nature.com/articles/s41598-023-35208-2</a>"
speedingCARs: accelerating the engineering of CAR T cells by signaling domain shuffling and single-cell sequencing,Rocío Castellanos-RuedaRaphaël B. Di RobertoSai T. Reddy,2022-11-02,"<a href=""https://www.nature.com/articles/s41467-022-34141-8"" target=""_blank"">https://www.nature.com/articles/s41467-022-34141-8</a>"
Long-term outcomes following CAR T cell therapy: what we know so far,Kathryn M. CappellJames N. Kochenderfer,2023-04-13,"<a href=""https://www.nature.com/articles/s41571-023-00754-1"" target=""_blank"">https://www.nature.com/articles/s41571-023-00754-1</a>"
